noise_model,n,d,r,p,code_type,shots,errors,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds
depolarizing,8,2,10,1.6681005372000593e-05,self_dual,1000000,32,3.2e-05,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,2.7825594022071256e-05,self_dual,1000000,59,5.9e-05,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,4.6415888336127825e-05,self_dual,1000000,90,9e-05,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,7.742636826811277e-05,self_dual,1000000,154,0.000154,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,0.00012915496650148838,self_dual,1000000,269,0.000269,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,0.00035938136638046257,self_dual,1000000,701,0.000701,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,0.00021544346900318823,self_dual,1000000,395,0.000395,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,0.0005994842503189409,self_dual,1000000,1200,0.0012,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,0.001,self_dual,1000000,1966,0.001966,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,9.999999999999999e-06,self_dual,1000000,20,2e-05,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,1.6681005372000593e-05,self_dual,1000000,33,3.3e-05,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,2.7825594022071256e-05,self_dual,1000000,46,4.6e-05,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,4.6415888336127825e-05,self_dual,1000000,82,8.2e-05,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,7.742636826811277e-05,self_dual,1000000,155,0.000155,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,0.00012915496650148838,self_dual,1000000,256,0.000256,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,0.0005994842503189409,self_dual,1000000,1198,0.001198,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,0.00021544346900318823,self_dual,1000000,424,0.000424,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,0.00035938136638046257,self_dual,1000000,741,0.000741,0.9881690924351192,0.0007089849351909704
depolarizing,10,2,10,0.001,self_dual,1000000,1955,0.001955,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,1.6681005372000593e-05,self_dual,1000000,2,2e-06,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,4.6415888336127825e-05,self_dual,1000000,9,9e-06,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,9.999999999999999e-06,self_dual,1000000,1,1e-06,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,0.00012915496650148838,self_dual,1000000,45,4.5e-05,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,7.742636826811277e-05,self_dual,1000000,22,2.2e-05,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,2.7825594022071256e-05,self_dual,1000000,2,2e-06,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,0.00021544346900318823,self_dual,1000000,167,0.000167,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,0.00035938136638046257,self_dual,1000000,453,0.000453,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,0.0005994842503189409,self_dual,1000000,1281,0.001281,0.9881690924351192,0.0007089849351909704
depolarizing,12,4,20,0.001,self_dual,417954,1588,0.003799461184723678,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,9.999999999999999e-06,self_dual,1000000,0,0.0,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,1.6681005372000593e-05,self_dual,1000000,0,0.0,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,2.7825594022071256e-05,self_dual,1000000,3,3e-06,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,4.6415888336127825e-05,self_dual,1000000,7,7e-06,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,7.742636826811277e-05,self_dual,1000000,29,2.9e-05,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,0.00012915496650148838,self_dual,1000000,74,7.4e-05,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,0.00021544346900318823,self_dual,1000000,205,0.000205,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,0.0005994842503189409,self_dual,579170,962,0.0016609976345459882,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,0.00035938136638046257,self_dual,1000000,570,0.00057,0.9881690924351192,0.0007089849351909704
depolarizing,14,4,20,0.001,self_dual,242930,1121,0.004614498003540114,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,9.999999999999999e-06,self_dual,1000000,0,0.0,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,1.6681005372000593e-05,self_dual,1000000,6,6e-06,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,2.7825594022071256e-05,self_dual,1000000,17,1.7e-05,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,4.6415888336127825e-05,self_dual,1000000,36,3.6e-05,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,7.742636826811277e-05,self_dual,1000000,119,0.000119,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,0.00012915496650148838,self_dual,1000000,357,0.000357,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,0.00021544346900318823,self_dual,494050,482,0.000975609756097561,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,0.00035938136638046257,self_dual,201282,568,0.0028219115469838335,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,0.0005994842503189409,self_dual,76450,576,0.0075343361674296925,0.9881690924351192,0.0007089849351909704
depolarizing,16,4,20,0.001,self_dual,30591,688,0.022490274917459384,0.9881690924351192,0.0007089849351909704
depolarizing,18,4,20,9.999999999999999e-06,self_dual,1000000,0,0.0,0.9881690924351192,0.0007089849351909704
depolarizing,18,4,20,1.6681005372000593e-05,self_dual,1000000,3,3e-06,0.9881690924351192,0.0007089849351909704
depolarizing,18,4,20,2.7825594022071256e-05,self_dual,1000000,5,5e-06,0.9881690924351192,0.0007089849351909704
depolarizing,18,4,20,4.6415888336127825e-05,self_dual,1000000,22,2.2e-05,0.9881690924351192,0.0007089849351909704
depolarizing,18,4,20,7.742636826811277e-05,self_dual,806434,42,5.2081137452041954e-05,0.9881690924351192,0.0007089849351909704
depolarizing,18,4,20,0.00012915496650148838,self_dual,312610,54,0.00017273919580307733,0.9881690924351192,0.0007089849351909704
depolarizing,18,4,20,0.00021544346900318823,self_dual,58146,23,0.0003955560141712242,0.9881690924351192,0.0007089849351909704
