n,d,r,p,shots,errors,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds
7,3,9,0.008,100000,2668,0.02668,8.623236716920589,0.0001651115694317816
7,3,9,0.009,100000,3431,0.03431,8.623236716920589,0.0001651115694317816
7,3,9,0.01,100000,4153,0.04153,8.623236716920589,0.0001651115694317816
7,3,9,0.012,100000,5700,0.057,8.623236716920589,0.0001651115694317816
7,3,9,0.011,100000,4804,0.04804,8.623236716920589,0.0001651115694317816
