n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,100000,0.00086,0.0001720552350141,0.0002019856679465,0.00051,0.0001302486624296,0.0001605019792502,0.00086,0.0001720552350141,0.0002019856679465,0.0001424082231521
4,0.0012742749857031,100000,0.00133,0.0002163038143215,0.0002460062608844,0.00066,0.0001495204223194,0.000179606379174,0.00133,0.0002163038143215,0.0002460062608844,0.000140131266117
4,0.0016237767391887,100000,0.00127,0.0002111516394009,0.0002408768816616,0.00061,0.0001433672061602,0.0001735025107377,0.00127,0.0002111516394009,0.0002408768816616,0.0001407537269592
4,0.0020691380811147,100000,0.0021,0.0002741974070679,0.0003036856112226,0.00122,0.0002067639737341,0.0002365092760469,0.0021,0.0002741974070679,0.0003036856112226,0.0001404776024818
4,0.0026366508987303,100000,0.00236,0.0002912235412543,0.0003206590271777,0.00109,0.0001949137659785,0.0002247165546394,0.00236,0.0002912235412543,0.0003206590271777,0.0001412891578674
4,0.0033598182862837,100000,0.00349,0.0003560463672603,0.0003853046749152,0.00179,0.0002524425999207,0.0002820038695317,0.00349,0.0003560463672603,0.0003853046749152,0.0001409479904174
4,0.0042813323987193,100000,0.00441,0.0004012539782793,0.0004304016615007,0.00225,0.00028414169109,0.0003135986905712,0.00441,0.0004012539782793,0.0004304016615007,0.0001409728336334
4,0.0054555947811685,100000,0.00576,0.0004596528969983,0.0004886644401787,0.003,0.0003294797846498,0.0003588071777942,0.00575,0.0004592475847552,0.0004882600603692,0.0001426983428001
4,0.0069519279617756,100000,0.00692,0.0005044562511459,0.0005333649376754,0.00332,0.000347056471427,0.0003763377313767,0.00691,0.0005040871297944,0.0005329966644179,0.0001425378155708
4,0.0088586679041008,100000,0.00911,0.0005795985181678,0.0006083325129202,0.00436,0.0003989275910631,0.0004280808159547,0.0091,0.0005792778835801,0.0006080126362562,0.0001418175768852
4,0.0112883789168468,100000,0.01104,0.0006384104623149,0.0006670028190779,0.00542,0.0004456653240018,0.0004747091076337,0.011,0.0006372480082047,0.0006658432203951,0.000141907377243
