n,p,shots,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds,total_err_low,total_err_high,x_logical_error_rate,z_logical_error_rate
18,9.999999999999999e-06,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,2.7825594022071256e-05,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,7.742636826811277e-05,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,0.0005994842503189409,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,1.6681005372000593e-05,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,0.001,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,0.00035938136638046257,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,4.6415888336127825e-05,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,0.00012915496650148838,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
18,0.00021544346900318823,1000000,0.0,3.350632543176842,0.0076586060945473145,0,0,0,0
