n,p,shots,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds,total_err_low,total_err_high,x_logical_error_rate,z_logical_error_rate
7,1.6681005372000593e-05,100000,0.00011,15.100731078004996,0.2017109875414758,0,0,0,0
7,7.742636826811277e-05,100000,0.00056,15.100731078004996,0.2017109875414758,0,0,0,0
7,9.999999999999999e-06,100000,6e-05,15.100731078004996,0.2017109875414758,0,0,0,0
7,0.00012915496650148838,100000,0.00092,15.100731078004996,0.2017109875414758,0,0,0,0
7,4.6415888336127825e-05,100000,0.0002,15.100731078004996,0.2017109875414758,0,0,0,0
7,2.7825594022071256e-05,100000,0.00013,15.100731078004996,0.2017109875414758,0,0,0,0
7,0.001,100000,0.02035,15.100731078004996,0.2017109875414758,0,0,0,0
7,0.00021544346900318823,100000,0.00193,15.100731078004996,0.2017109875414758,0,0,0,0
7,0.00035938136638046257,100000,0.00399,15.100731078004996,0.2017109875414758,0,0,0,0
7,0.0005994842503189409,100000,0.00824,15.100731078004996,0.2017109875414758,0,0,0,0
17,1.6681005372000593e-05,100000,1e-05,15.100731078004996,0.2017109875414758,0,0,0,0
17,9.999999999999999e-06,100000,2e-05,15.100731078004996,0.2017109875414758,0,0,0,0
17,2.7825594022071256e-05,100000,9e-05,15.100731078004996,0.2017109875414758,0,0,0,0
17,4.6415888336127825e-05,100000,0.00023,15.100731078004996,0.2017109875414758,0,0,0,0
17,7.742636826811277e-05,100000,0.00064,15.100731078004996,0.2017109875414758,0,0,0,0
17,0.00012915496650148838,100000,0.00153,15.100731078004996,0.2017109875414758,0,0,0,0
17,0.00021544346900318823,100000,0.00466,15.100731078004996,0.2017109875414758,0,0,0,0
17,0.00035938136638046257,100000,0.01272,15.100731078004996,0.2017109875414758,0,0,0,0
17,0.0005994842503189409,100000,0.03577,15.100731078004996,0.2017109875414758,0,0,0,0
17,0.001,100000,0.09796,15.100731078004996,0.2017109875414758,0,0,0,0
23,9.999999999999999e-06,100000,3e-05,15.100731078004996,0.2017109875414758,0,0,0,0
23,1.6681005372000593e-05,100000,0.0001,15.100731078004996,0.2017109875414758,0,0,0,0
23,2.7825594022071256e-05,100000,0.00027,15.100731078004996,0.2017109875414758,0,0,0,0
23,4.6415888336127825e-05,100000,0.00067,15.100731078004996,0.2017109875414758,0,0,0,0
23,7.742636826811277e-05,100000,0.00186,15.100731078004996,0.2017109875414758,0,0,0,0
23,0.00012915496650148838,100000,0.0041,15.100731078004996,0.2017109875414758,0,0,0,0
23,0.00021544346900318823,100000,0.01305,15.100731078004996,0.2017109875414758,0,0,0,0
23,0.00035938136638046257,100000,0.03705,15.100731078004996,0.2017109875414758,0,0,0,0
23,0.0005994842503189409,100000,0.10411,15.100731078004996,0.2017109875414758,0,0,0,0
23,0.001,100000,0.2444,15.100731078004996,0.2017109875414758,0,0,0,0
