n,p,shots,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds,total_err_low,total_err_high,x_logical_error_rate,z_logical_error_rate
7,0.009,100000,0.05536,15.131296851197067,0.0036257864488348154,0,0,0,0
7,0.008,100000,0.04516,15.131296851197067,0.0036257864488348154,0,0,0,0
7,0.01,100000,0.06689,15.131296851197067,0.0036257864488348154,0,0,0,0
7,0.012,100000,0.09258,15.131296851197067,0.0036257864488348154,0,0,0,0
7,0.011,100000,0.0806,15.131296851197067,0.0036257864488348154,0,0,0,0
