n,p,shots,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds,total_err_low,total_err_high,x_logical_error_rate,z_logical_error_rate
7,0.00021544346900318823,100000,0.00117,6.378062678891817,0.03781811353289739,0,0,0,0
7,1.6681005372000593e-05,100000,8e-05,6.378062678891817,0.03781811353289739,0,0,0,0
7,7.742636826811277e-05,100000,0.00062,6.378062678891817,0.03781811353289739,0,0,0,0
7,2.7825594022071256e-05,100000,0.00017,6.378062678891817,0.03781811353289739,0,0,0,0
7,9.999999999999999e-06,100000,4e-05,6.378062678891817,0.03781811353289739,0,0,0,0
7,4.6415888336127825e-05,100000,0.00026,6.378062678891817,0.03781811353289739,0,0,0,0
7,0.0005994842503189409,100000,0.00386,6.378062678891817,0.03781811353289739,0,0,0,0
7,0.001,100000,0.00644,6.378062678891817,0.03781811353289739,0,0,0,0
7,0.00012915496650148838,100000,0.00052,6.378062678891817,0.03781811353289739,0,0,0,0
7,0.00035938136638046257,100000,0.0016,6.378062678891817,0.03781811353289739,0,0,0,0
17,9.999999999999999e-06,100000,0.0,6.378062678891817,0.03781811353289739,0,0,0,0
17,1.6681005372000593e-05,100000,1e-05,6.378062678891817,0.03781811353289739,0,0,0,0
17,2.7825594022071256e-05,100000,0.0,6.378062678891817,0.03781811353289739,0,0,0,0
17,7.742636826811277e-05,100000,0.0001,6.378062678891817,0.03781811353289739,0,0,0,0
17,0.00012915496650148838,100000,0.00034,6.378062678891817,0.03781811353289739,0,0,0,0
17,4.6415888336127825e-05,100000,2e-05,6.378062678891817,0.03781811353289739,0,0,0,0
17,0.00021544346900318823,100000,0.00069,6.378062678891817,0.03781811353289739,0,0,0,0
17,0.00035938136638046257,100000,0.00186,6.378062678891817,0.03781811353289739,0,0,0,0
17,0.0005994842503189409,100000,0.00506,6.378062678891817,0.03781811353289739,0,0,0,0
17,0.001,100000,0.01462,6.378062678891817,0.03781811353289739,0,0,0,0
23,9.999999999999999e-06,100000,0.0,6.378062678891817,0.03781811353289739,0,0,0,0
23,1.6681005372000593e-05,100000,2e-05,6.378062678891817,0.03781811353289739,0,0,0,0
23,2.7825594022071256e-05,100000,3e-05,6.378062678891817,0.03781811353289739,0,0,0,0
23,4.6415888336127825e-05,100000,0.00013,6.378062678891817,0.03781811353289739,0,0,0,0
23,7.742636826811277e-05,100000,0.00032,6.378062678891817,0.03781811353289739,0,0,0,0
23,0.00012915496650148838,100000,0.00071,6.378062678891817,0.03781811353289739,0,0,0,0
23,0.00021544346900318823,100000,0.00252,6.378062678891817,0.03781811353289739,0,0,0,0
23,0.00035938136638046257,100000,0.00689,6.378062678891817,0.03781811353289739,0,0,0,0
23,0.0005994842503189409,100000,0.0203,6.378062678891817,0.03781811353289739,0,0,0,0
23,0.001,100000,0.05422,6.378062678891817,0.03781811353289739,0,0,0,0
