n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,10000,0,0,0,0,0,0,0,0,0,1.041e-07
4,0.00127427,10000,0,0,0,0,0,0,0,0,0,6.74062e-08
4,0.00162378,10000,0,0,0,0,0,0,0,0,0,5.35876e-08
4,0.00206914,10000,0,0,0,0,0,0,0,0,0,5.28094e-08
4,0.00263665,10000,0,0,0,0,0,0,0,0,0,5.216e-08
4,0.00335982,10000,0,0,0,0,0,0,0,0,0,5.00034e-08
4,0.00428133,10000,0,0,0,0,0,0,0,0,0,5.34716e-08
4,0.00545559,10000,0,0,0,0,0,0,0,0,0,7.7342e-08
4,0.00695193,10000,0,0,0,0,0,0,0,0,0,6.89537e-08
4,0.00885867,10000,0,0,0,0,0,0,0,0,0,9.89995e-08
4,0.0112884,10000,0,0,0,0,0,0,0,0,0,8.68255e-08
4,0.0143845,10000,0,0,0,0,0,0,0,0,0,1.01573e-07
4,0.0183298,10000,0,0,0,0,0,0,0,0,0,1.02399e-07
4,0.0233572,10000,0,0,0,0,0,0,0,0,0,1.00028e-07
4,0.0297635,10000,0,0,0,0,0,0,0,0,0,1.18473e-07
4,0.0379269,10000,0,0,0,0,0,0,0,0,0,1.42581e-07
4,0.0483293,10000,0,0,0,0,0,0,0,0,0,1.96341e-07
4,0.0615848,10000,0,0,0,0,0,0,0,0,0,1.31168e-07
4,0.078476,10000,0,0,0,0,0,0,0,0,0,2.69529e-07
4,0.1,10000,0,0,0,0,0,0,0,0,0,1.75443e-07
6,0.001,10000,0,0,0,0,0,0,0,0,0,9.31669e-08
6,0.00127427,10000,0,0,0,0,0,0,0,0,0,9.09585e-08
6,0.00162378,10000,0,0,0,0,0,0,0,0,0,9.1204e-08
6,0.00206914,10000,0,0,0,0,0,0,0,0,0,9.14572e-08
6,0.00263665,10000,0,0,0,0,0,0,0,0,0,1.19391e-07
6,0.00335982,10000,0,0,0,0,0,0,0,0,0,7.24099e-08
6,0.00428133,10000,0,0,0,0,0,0,0,0,0,9.49159e-08
6,0.00545559,10000,0,0,0,0,0,0,0,0,0,1.32932e-07
6,0.00695193,10000,0,0,0,0,0,0,0,0,0,1.08314e-07
6,0.00885867,10000,0,0,0,0,0,0,0,0,0,1.1714e-07
6,0.0112884,10000,0,0,0,0,0,0,0,0,0,1.50907e-07
6,0.0143845,10000,0,0,0,0,0,0,0,0,0,1.3773e-07
6,0.0183298,10000,0,0,0,0,0,0,0,0,0,1.42025e-07
6,0.0233572,10000,0,0,0,0,0,0,0,0,0,3.10159e-07
6,0.0297635,10000,0,0,0,0,0,0,0,0,0,2.56524e-07
6,0.0379269,10000,0,0,0,0,0,0,0,0,0,2.50898e-07
6,0.0483293,10000,0,0,0,0,0,0,0,0,0,3.04793e-07
6,0.0615848,10000,0,0,0,0,0,0,0,0,0,2.99681e-07
6,0.078476,10000,0,0,0,0,0,0,0,0,0,3.8723e-07
6,0.1,10000,0,0,0,0,0,0,0,0,0,4.00916e-07
8,0.001,10000,0,0,0,0,0,0,0,0,0,1.48194e-07
8,0.00127427,10000,0,0,0,0,0,0,0,0,0,1.34594e-07
8,0.00162378,10000,0,0,0,0,0,0,0,0,0,9.81907e-08
8,0.00206914,10000,0,0,0,0,0,0,0,0,0,8.52267e-08
8,0.00263665,10000,0,0,0,0,0,0,0,0,0,1.42677e-07
8,0.00335982,10000,0,0,0,0,0,0,0,0,0,1.32573e-07
