n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,100,0,0,0,0,0,0,0,0,0,1.82284e-06
4,0.00127427,100,0,0,0,0,0,0,0,0,0,4.4854e-07
4,0.00162378,100,0,0,0,0,0,0,0,0,0,4.6463e-07
4,0.00206914,100,0,0,0,0,0,0,0,0,0,5.7702e-07
4,0.00263665,100,0,0,0,0,0,0,0,0,0,5.0465e-07
4,0.00335982,100,0,0,0,0,0,0,0,0,0,1.34894e-06
4,0.00428133,100,0,0,0,0,0,0,0,0,0,4.5905e-07
4,0.00545559,100,0,0,0,0,0,0,0,0,0,3.8071e-07
4,0.00695193,100,0,0,0,0,0,0,0,0,0,4.6315e-07
4,0.00885867,100,0,0,0,0,0,0,0,0,0,5.2081e-07
4,0.0112884,100,0,0,0,0,0,0,0,0,0,4.2348e-07
4,0.0143845,100,0,0,0,0,0,0,0,0,0,5.4624e-07
4,0.0183298,100,0,0,0,0,0,0,0,0,0,5.96e-07
4,0.0233572,100,0,0,0,0,0,0,0,0,0,3.9324e-07
4,0.0297635,100,0,0,0,0,0,0,0,0,0,4.4784e-07
4,0.0379269,100,0,0,0,0,0,0,0,0,0,5.1798e-07
4,0.0483293,100,0,0,0,0,0,0,0,0,0,5.3886e-07
4,0.0615848,100,0,0,0,0,0,0,0,0,0,4.6511e-07
4,0.078476,100,0,0,0,0,0,0,0,0,0,7.6043e-07
4,0.1,100,0,0,0,0,0,0,0,0,0,6.9527e-07
6,0.001,100,0,0,0,0,0,0,0,0,0,4.5218e-07
6,0.00127427,100,0,0,0,0,0,0,0,0,0,5.3887e-07
6,0.00162378,100,0,0,0,0,0,0,0,0,0,4.301e-07
6,0.00206914,100,0,0,0,0,0,0,0,0,0,4.2383e-07
6,0.00263665,100,0,0,0,0,0,0,0,0,0,3.9998e-07
6,0.00335982,100,0,0,0,0,0,0,0,0,0,5.2219e-07
6,0.00428133,100,0,0,0,0,0,0,0,0,0,4.6211e-07
6,0.00545559,100,0,0,0,0,0,0,0,0,0,4.3785e-07
6,0.00695193,100,0,0,0,0,0,0,0,0,0,5.1983e-07
6,0.00885867,100,0,0,0,0,0,0,0,0,0,5.593e-07
6,0.0112884,100,0,0,0,0,0,0,0,0,0,6.8805e-07
6,0.0143845,100,0,0,0,0,0,0,0,0,0,3.7523e-07
6,0.0183298,100,0,0,0,0,0,0,0,0,0,6.9582e-07
6,0.0233572,100,0,0,0,0,0,0,0,0,0,5.7143e-07
6,0.0297635,100,0,0,0,0,0,0,0,0,0,8.9282e-07
6,0.0379269,100,0,0,0,0,0,0,0,0,0,7.5339e-07
6,0.0483293,100,0,0,0,0,0,0,0,0,0,5.3808e-07
6,0.0615848,100,0,0,0,0,0,0,0,0,0,6.1207e-07
6,0.078476,100,0,0,0,0,0,0,0,0,0,6.6301e-07
6,0.1,100,0,0,0,0,0,0,0,0,0,8.0922e-07
8,0.001,100,0,0,0,0,0,0,0,0,0,4.5678e-07
8,0.00127427,100,0,0,0,0,0,0,0,0,0,4.1169e-07
8,0.00162378,100,0,0,0,0,0,0,0,0,0,5.4317e-07
8,0.00206914,100,0,0,0,0,0,0,0,0,0,5.0683e-07
8,0.00263665,100,0,0,0,0,0,0,0,0,0,4.4926e-07
8,0.00335982,100,0,0,0,0,0,0,0,0,0,4.2303e-07
8,0.00428133,100,0,0,0,0,0,0,0,0,0,3.9831e-07
8,0.00545559,100,0,0,0,0,0,0,0,0,0,4.7529e-07
8,0.00695193,100,0,0,0,0,0,0,0,0,0,5.7124e-07
8,0.00885867,100,0,0,0,0,0,0,0,0,0,5.1302e-07
8,0.0112884,100,0,0,0,0,0,0,0,0,0,4.2141e-07
8,0.0143845,100,0,0,0,0,0,0,0,0,0,4.1484e-07
8,0.0183298,100,0,0,0,0,0,0,0,0,0,6.1864e-07
8,0.0233572,100,0,0,0,0,0,0,0,0,0,6.3886e-07
8,0.0297635,100,0,0,0,0,0,0,0,0,0,2.61337e-06
8,0.0379269,100,0,0,0,0,0,0,0,0,0,1.39699e-06
8,0.0483293,100,0,0,0,0,0,0,0,0,0,8.1854e-07
8,0.0615848,100,0,0,0,0,0,0,0,0,0,8.858e-07
8,0.078476,100,0,0,0,0,0,0,0,0,0,1.23363e-06
8,0.1,100,0,0,0,0,0,0,0,0,0,1.13648e-06
12,0.001,100,0,0,0,0,0,0,0,0,0,3.6599e-07
12,0.00127427,100,0,0,0,0,0,0,0,0,0,4.8166e-07
12,0.00162378,100,0,0,0,0,0,0,0,0,0,4.4333e-07
12,0.00206914,100,0,0,0,0,0,0,0,0,0,4.1454e-07
12,0.00263665,100,0,0,0,0,0,0,0,0,0,4.5616e-07
12,0.00335982,100,0,0,0,0,0,0,0,0,0,5.5613e-07
12,0.00428133,100,0,0,0,0,0,0,0,0,0,4.0831e-07
12,0.00545559,100,0,0,0,0,0,0,0,0,0,4.4629e-07
12,0.00695193,100,0,0,0,0,0,0,0,0,0,4.3081e-07
12,0.00885867,100,0,0,0,0,0,0,0,0,0,5.854e-07
12,0.0112884,100,0,0,0,0,0,0,0,0,0,5.7771e-07
12,0.0143845,100,0,0,0,0,0,0,0,0,0,4.1915e-07
12,0.0183298,100,0,0,0,0,0,0,0,0,0,9.1917e-07
12,0.0233572,100,0,0,0,0,0,0,0,0,0,9.5004e-07
12,0.0297635,100,0,0,0,0,0,0,0,0,0,1.46784e-06
12,0.0379269,100,0,0,0,0,0,0,0,0,0,1.16382e-06
12,0.0483293,100,0,0,0,0,0,0,0,0,0,1.49093e-06
12,0.0615848,100,0,0,0,0,0,0,0,0,0,1.33429e-06
12,0.078476,100,0,0,0,0,0,0,0,0,0,2.38546e-06
12,0.1,100,0,0,0,0,0,0,0,0,0,2.96256e-06
14,0.001,100,0,0,0,0,0,0,0,0,0,3.6734e-07
14,0.00127427,100,0,0,0,0,0,0,0,0,0,5.3201e-07
14,0.00162378,100,0,0,0,0,0,0,0,0,0,4.8371e-07
14,0.00206914,100,0,0,0,0,0,0,0,0,0,4.8297e-07
14,0.00263665,100,0,0,0,0,0,0,0,0,0,4.6336e-07
14,0.00335982,100,0,0,0,0,0,0,0,0,0,4.81e-07
14,0.00428133,100,0,0,0,0,0,0,0,0,0,5.4266e-07
