n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,1000,0,0,0,0,0,0,0,0,0,3.91617e-07
4,0.00127427,1000,0,0,0,0,0,0,0,0,0,2.36244e-07
4,0.00162378,1000,0,0,0,0,0,0,0,0,0,1.60567e-07
4,0.00206914,1000,0,0,0,0,0,0,0,0,0,1.07559e-07
4,0.00263665,1000,0,0,0,0,0,0,0,0,0,9.6933e-08
4,0.00335982,1000,0,0,0,0,0,0,0,0,0,1.15352e-07
4,0.00428133,1000,0,0,0,0,0,0,0,0,0,1.03395e-07
4,0.00545559,1000,0,0,0,0,0,0,0,0,0,9.8292e-08
4,0.00695193,1000,0,0,0,0,0,0,0,0,0,1.26897e-07
4,0.00885867,1000,0,0,0,0,0,0,0,0,0,1.14396e-07
4,0.0112884,1000,0,0,0,0,0,0,0,0,0,1.1329e-07
4,0.0143845,1000,0,0,0,0,0,0,0,0,0,1.28147e-07
4,0.0183298,1000,0,0,0,0,0,0,0,0,0,1.28527e-07
4,0.0233572,1000,0,0,0,0,0,0,0,0,0,1.4457e-07
4,0.0297635,1000,0,0,0,0,0,0,0,0,0,1.83607e-07
4,0.0379269,1000,0,0,0,0,0,0,0,0,0,2.45545e-07
4,0.0483293,1000,0,0,0,0,0,0,0,0,0,1.72585e-07
4,0.0615848,1000,0,0,0,0,0,0,0,0,0,2.84275e-07
4,0.078476,1000,0,0,0,0,0,0,0,0,0,2.67268e-07
4,0.1,1000,0,0,0,0,0,0,0,0,0,3.04733e-07
6,0.001,1000,0,0,0,0,0,0,0,0,0,1.28129e-07
6,0.00127427,1000,0,0,0,0,0,0,0,0,0,1.2193e-07
6,0.00162378,1000,0,0,0,0,0,0,0,0,0,1.26455e-07
6,0.00206914,1000,0,0,0,0,0,0,0,0,0,1.08217e-07
6,0.00263665,1000,0,0,0,0,0,0,0,0,0,1.11951e-07
6,0.00335982,1000,0,0,0,0,0,0,0,0,0,1.39272e-07
6,0.00428133,1000,0,0,0,0,0,0,0,0,0,1.00224e-07
6,0.00545559,1000,0,0,0,0,0,0,0,0,0,1.33555e-07
6,0.00695193,1000,0,0,0,0,0,0,0,0,0,1.11251e-07
6,0.00885867,1000,0,0,0,0,0,0,0,0,0,1.72223e-07
6,0.0112884,1000,0,0,0,0,0,0,0,0,0,1.54994e-07
6,0.0143845,1000,0,0,0,0,0,0,0,0,0,2.65921e-07
6,0.0183298,1000,0,0,0,0,0,0,0,0,0,1.80666e-07
6,0.0233572,1000,0,0,0,0,0,0,0,0,0,3.19109e-07
6,0.0297635,1000,0,0,0,0,0,0,0,0,0,3.13737e-07
6,0.0379269,1000,0,0,0,0,0,0,0,0,0,3.45257e-07
6,0.0483293,1000,0,0,0,0,0,0,0,0,0,5.12176e-07
6,0.0615848,1000,0,0,0,0,0,0,0,0,0,5.47666e-07
6,0.078476,1000,0,0,0,0,0,0,0,0,0,4.9678e-07
6,0.1,1000,0,0,0,0,0,0,0,0,0,4.82459e-07
8,0.001,1000,0,0,0,0,0,0,0,0,0,1.49586e-07
8,0.00127427,1000,0,0,0,0,0,0,0,0,0,1.71496e-07
8,0.00162378,1000,0,0,0,0,0,0,0,0,0,1.39803e-07
8,0.00206914,1000,0,0,0,0,0,0,0,0,0,1.69853e-07
8,0.00263665,1000,0,0,0,0,0,0,0,0,0,1.75921e-07
8,0.00335982,1000,0,0,0,0,0,0,0,0,0,1.56698e-07
8,0.00428133,1000,0,0,0,0,0,0,0,0,0,1.63771e-07
8,0.00545559,1000,0,0,0,0,0,0,0,0,0,1.94107e-07
8,0.00695193,1000,0,0,0,0,0,0,0,0,0,1.74802e-07
8,0.00885867,1000,0,0,0,0,0,0,0,0,0,2.06094e-07
8,0.0112884,1000,0,0,0,0,0,0,0,0,0,2.33679e-07
8,0.0143845,1000,0,0,0,0,0,0,0,0,0,2.14979e-07
8,0.0183298,1000,0,0,0,0,0,0,0,0,0,2.63066e-07
8,0.0233572,1000,0,0,0,0,0,0,0,0,0,2.7353e-07
8,0.0297635,1000,0,0,0,0,0,0,0,0,0,2.67335e-07
8,0.0379269,1000,0,0,0,0,0,0,0,0,0,3.53495e-07
8,0.0483293,1000,0,0,0,0,0,0,0,0,0,4.56041e-07
8,0.0615848,1000,0,0,0,0,0,0,0,0,0,6.67904e-07
8,0.078476,1000,0,0,0,0,0,0,0,0,0,6.15344e-07
8,0.1,1000,0,0,0,0,0,0,0,0,0,7.04192e-07
12,0.001,1000,0,0,0,0,0,0,0,0,0,1.87728e-07
