n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,10,0,0,0,0,0,0,0,0,0,2.57112e-05
4,0.00127427,10,0,0,0,0,0,0,0,0,0,8.1111e-06
4,0.00162378,10,0,0,0,0,0,0,0,0,0,4.1634e-06
4,0.00206914,10,0,0,0,0,0,0,0,0,0,3.8402e-06
4,0.00263665,10,0,0,0,0,0,0,0,0,0,3.5212e-06
4,0.00335982,10,0,0,0,0,0,0,0,0,0,4.187e-06
4,0.00428133,10,0,0,0,0,0,0,0,0,0,3.8558e-06
4,0.00545559,10,0,0,0,0,0,0,0,0,0,2.8759e-06
4,0.00695193,10,0,0,0,0,0,0,0,0,0,3.2264e-06
4,0.00885867,10,0,0,0,0,0,0,0,0,0,3.8391e-06
4,0.0112884,10,0,0,0,0,0,0,0,0,0,3.8437e-06
4,0.0143845,10,0,0,0,0,0,0,0,0,0,3.6919e-06
4,0.0183298,10,0,0,0,0,0,0,0,0,0,3.7625e-06
4,0.0233572,10,0,0,0,0,0,0,0,0,0,2.9455e-06
4,0.0297635,10,0,0,0,0,0,0,0,0,0,2.8377e-06
4,0.0379269,10,0,0,0,0,0,0,0,0,0,4.0477e-06
4,0.0483293,10,0,0,0,0,0,0,0,0,0,3.6773e-06
4,0.0615848,10,0,0,0,0,0,0,0,0,0,6.2144e-06
4,0.078476,10,0,0,0,0,0,0,0,0,0,4.1907e-06
4,0.1,10,0,0,0,0,0,0,0,0,0,4.9358e-06
6,0.001,10,0,0,0,0,0,0,0,0,0,3.1475e-06
6,0.00127427,10,0,0,0,0,0,0,0,0,0,3.3466e-06
6,0.00162378,10,0,0,0,0,0,0,0,0,0,3.8683e-06
6,0.00206914,10,0,0,0,0,0,0,0,0,0,3.6015e-06
6,0.00263665,10,0,0,0,0,0,0,0,0,0,3.0872e-06
6,0.00335982,10,0,0,0,0,0,0,0,0,0,3.6568e-06
6,0.00428133,10,0,0,0,0,0,0,0,0,0,3.554e-06
6,0.00545559,10,0,0,0,0,0,0,0,0,0,7.2498e-06
6,0.00695193,10,0,0,0,0,0,0,0,0,0,3.0314e-06
6,0.00885867,10,0,0,0,0,0,0,0,0,0,3.3632e-06
6,0.0112884,10,0,0,0,0,0,0,0,0,0,3.4177e-06
6,0.0143845,10,0,0,0,0,0,0,0,0,0,3.1119e-06
6,0.0183298,10,0,0,0,0,0,0,0,0,0,4.3266e-06
6,0.0233572,10,0,0,0,0,0,0,0,0,0,3.0759e-06
6,0.0297635,10,0,0,0,0,0,0,0,0,0,3.7398e-06
6,0.0379269,10,0,0,0,0,0,0,0,0,0,3.8079e-06
6,0.0483293,10,0,0,0,0,0,0,0,0,0,3.8047e-06
6,0.0615848,10,0,0,0,0,0,0,0,0,0,3.7367e-06
6,0.078476,10,0,0,0,0,0,0,0,0,0,4.3997e-06
6,0.1,10,0,0,0,0,0,0,0,0,0,4.0289e-06
8,0.001,10,0,0,0,0,0,0,0,0,0,3.8137e-06
8,0.00127427,10,0,0,0,0,0,0,0,0,0,2.6433e-06
8,0.00162378,10,0,0,0,0,0,0,0,0,0,3.6769e-06
8,0.00206914,10,0,0,0,0,0,0,0,0,0,3.8591e-06
8,0.00263665,10,0,0,0,0,0,0,0,0,0,2.9987e-06
8,0.00335982,10,0,0,0,0,0,0,0,0,0,4.0619e-06
8,0.00428133,10,0,0,0,0,0,0,0,0,0,3.5809e-06
8,0.00545559,10,0,0,0,0,0,0,0,0,0,3.746e-06
8,0.00695193,10,0,0,0,0,0,0,0,0,0,5.0559e-06
8,0.00885867,10,0,0,0,0,0,0,0,0,0,3.3937e-06
8,0.0112884,10,0,0,0,0,0,0,0,0,0,4.4853e-06
8,0.0143845,10,0,0,0,0,0,0,0,0,0,3.093e-06
8,0.0183298,10,0,0,0,0,0,0,0,0,0,3.6802e-06
8,0.0233572,10,0,0,0,0,0,0,0,0,0,3.8596e-06
8,0.0297635,10,0,0,0,0,0,0,0,0,0,4.4191e-06
8,0.0379269,10,0,0,0,0,0,0,0,0,0,4.0783e-06
8,0.0483293,10,0,0,0,0,0,0,0,0,0,4.1983e-06
8,0.0615848,10,0,0,0,0,0,0,0,0,0,4.0227e-06
8,0.078476,10,0,0,0,0,0,0,0,0,0,5.2651e-06
8,0.1,10,0,0,0,0,0,0,0,0,0,4.7528e-06
12,0.001,10,0,0,0,0,0,0,0,0,0,2.895e-06
12,0.00127427,10,0,0,0,0,0,0,0,0,0,2.9758e-06
12,0.00162378,10,0,0,0,0,0,0,0,0,0,3.2568e-06
12,0.00206914,10,0,0,0,0,0,0,0,0,0,3.82972e-05
12,0.00263665,10,0,0,0,0,0,0,0,0,0,6.6103e-06
12,0.00335982,10,0,0,0,0,0,0,0,0,0,3.9407e-06
12,0.00428133,10,0,0,0,0,0,0,0,0,0,4.5442e-06
12,0.00545559,10,0,0,0,0,0,0,0,0,0,3.7273e-06
