n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,1000000,0,0,0,0,0,0,0,0,0,4.85349e-08
4,0.00127427,1000000,0,0,0,0,0,0,0,0,0,4.37644e-08
4,0.00162378,1000000,0,0,0,0,0,0,0,0,0,4.39067e-08
4,0.00206914,1000000,0,0,0,0,0,0,0,0,0,5.2826e-08
4,0.00263665,1000000,0,0,0,0,0,0,0,0,0,4.79528e-08
4,0.00335982,1000000,0,0,0,0,0,0,0,0,0,5.83147e-08
4,0.00428133,1000000,0,0,0,0,0,0,0,0,0,5.34235e-08
4,0.00545559,1000000,0,0,0,0,0,0,0,0,0,6.35351e-08
4,0.00695193,1000000,0,0,0,0,0,0,0,0,0,6.50261e-08
4,0.00885867,1000000,0,0,0,0,0,0,0,0,0,6.96794e-08
4,0.0112884,1000000,0,0,0,0,0,0,0,0,0,7.21606e-08
4,0.0143845,1000000,0,0,0,0,0,0,0,0,0,7.47814e-08
4,0.0183298,1000000,0,0,0,0,0,0,0,0,0,8.81062e-08
4,0.0233572,1000000,0,0,0,0,0,0,0,0,0,9.65947e-08
4,0.0297635,1000000,0,0,0,0,0,0,0,0,0,1.10242e-07
4,0.0379269,1000000,0,0,0,0,0,0,0,0,0,1.16674e-07
4,0.0483293,1000000,0,0,0,0,0,0,0,0,0,1.31384e-07
4,0.0615848,1000000,0,0,0,0,0,0,0,0,0,1.46839e-07
4,0.078476,1000000,0,0,0,0,0,0,0,0,0,1.79184e-07
4,0.1,1000000,0,0,0,0,0,0,0,0,0,2.12373e-07
6,0.001,1000000,0,0,0,0,0,0,0,0,0,5.69907e-08
6,0.00127427,1000000,0,0,0,0,0,0,0,0,0,6.53622e-08
6,0.00162378,1000000,0,0,0,0,0,0,0,0,0,6.66496e-08
6,0.00206914,1000000,0,0,0,0,0,0,0,0,0,7.82809e-08
6,0.00263665,1000000,0,0,0,0,0,0,0,0,0,7.38281e-08
6,0.00335982,1000000,0,0,0,0,0,0,0,0,0,7.75412e-08
6,0.00428133,1000000,0,0,0,0,0,0,0,0,0,7.59203e-08
6,0.00545559,1000000,0,0,0,0,0,0,0,0,0,7.82169e-08
6,0.00695193,1000000,0,0,0,0,0,0,0,0,0,9.34453e-08
6,0.00885867,1000000,0,0,0,0,0,0,0,0,0,9.14762e-08
6,0.0112884,1000000,0,0,0,0,0,0,0,0,0,9.74035e-08
6,0.0143845,1000000,0,0,0,0,0,0,0,0,0,1.09807e-07
6,0.0183298,1000000,0,0,0,0,0,0,0,0,0,1.34198e-07
6,0.0233572,1000000,0,0,0,0,0,0,0,0,0,1.47849e-07
6,0.0297635,1000000,0,0,0,0,0,0,0,0,0,1.64397e-07
6,0.0379269,1000000,0,0,0,0,0,0,0,0,0,1.84141e-07
6,0.0483293,1000000,0,0,0,0,0,0,0,0,0,2.23301e-07
6,0.0615848,1000000,0,0,0,0,0,0,0,0,0,2.59226e-07
6,0.078476,1000000,0,0,0,0,0,0,0,0,0,3.49096e-07
6,0.1,1000000,0,0,0,0,0,0,0,0,0,4.47943e-07
8,0.001,1000000,0,0,0,0,0,0,0,0,0,8.27322e-08
8,0.00127427,1000000,0,0,0,0,0,0,0,0,0,8.75402e-08
8,0.00162378,1000000,0,0,0,0,0,0,0,0,0,8.30421e-08
8,0.00206914,1000000,0,0,0,0,0,0,0,0,0,9.02775e-08
8,0.00263665,1000000,0,0,0,0,0,0,0,0,0,9.67968e-08
8,0.00335982,1000000,0,0,0,0,0,0,0,0,0,9.86896e-08
8,0.00428133,1000000,0,0,0,0,0,0,0,0,0,1.19674e-07
8,0.00545559,1000000,0,0,0,0,0,0,0,0,0,1.19976e-07
8,0.00695193,1000000,0,0,0,0,0,0,0,0,0,1.46657e-07
8,0.00885867,1000000,0,0,0,0,0,0,0,0,0,1.34409e-07
8,0.0112884,1000000,0,0,0,0,0,0,0,0,0,1.7091e-07
8,0.0143845,1000000,0,0,0,0,0,0,0,0,0,1.90129e-07
8,0.0183298,1000000,0,0,0,0,0,0,0,0,0,2.25063e-07
8,0.0233572,1000000,0,0,0,0,0,0,0,0,0,2.41547e-07
8,0.0297635,1000000,0,0,0,0,0,0,0,0,0,2.91664e-07
8,0.0379269,1000000,0,0,0,0,0,0,0,0,0,3.20982e-07
8,0.0483293,1000000,0,0,0,0,0,0,0,0,0,4.13367e-07
8,0.0615848,1000000,0,0,0,0,0,0,0,0,0,4.41467e-07
8,0.078476,1000000,0,0,0,0,0,0,0,0,0,5.47954e-07
8,0.1,1000000,0,0,0,0,0,0,0,0,0,6.59591e-07
12,0.001,1000000,0,0,0,0,0,0,0,0,0,1.34555e-07
12,0.00127427,1000000,0,0,0,0,0,0,0,0,0,1.66029e-07
12,0.00162378,1000000,0,0,0,0,0,0,0,0,0,1.68628e-07
12,0.00206914,1000000,0,0,0,0,0,0,0,0,0,1.45309e-07
12,0.00263665,1000000,0,0,0,0,0,0,0,0,0,1.5389e-07
12,0.00335982,1000000,0,0,0,0,0,0,0,0,0,1.50369e-07
12,0.00428133,1000000,0,0,0,0,0,0,0,0,0,1.50402e-07
12,0.00545559,1000000,0,0,0,0,0,0,0,0,0,1.56604e-07
12,0.00695193,1000000,0,0,0,0,0,0,0,0,0,1.66847e-07
12,0.00885867,1000000,0,0,0,0,0,0,0,0,0,1.77363e-07
12,0.0112884,1000000,0,0,0,0,0,0,0,0,0,1.99677e-07
12,0.0143845,1000000,0,0,0,0,0,0,0,0,0,2.00956e-07
12,0.0183298,1000000,0,0,0,0,0,0,0,0,0,2.26947e-07
12,0.0233572,1000000,0,0,0,0,0,0,0,0,0,2.66265e-07
12,0.0297635,1000000,0,0,0,0,0,0,0,0,0,3.11129e-07
12,0.0379269,1000000,0,0,0,0,0,0,0,0,0,4.02202e-07
12,0.0483293,1000000,0,0,0,0,0,0,0,0,0,5.03373e-07
12,0.0615848,1000000,0,0,0,0,0,0,0,0,0,6.68135e-07
12,0.078476,1000000,0,0,0,0,0,0,0,0,0,8.50744e-07
12,0.1,1000000,0,0,0,0,0,0,0,0,0,1.12424e-06
14,0.001,1000000,0,0,0,0,0,0,0,0,0,1.3834e-07
14,0.00127427,1000000,0,0,0,0,0,0,0,0,0,1.58867e-07
14,0.00162378,1000000,0,0,0,0,0,0,0,0,0,1.5206e-07
14,0.00206914,1000000,0,0,0,0,0,0,0,0,0,1.5594e-07
14,0.00263665,1000000,0,0,0,0,0,0,0,0,0,1.55765e-07
14,0.00335982,1000000,0,0,0,0,0,0,0,0,0,1.76728e-07
14,0.00428133,1000000,0,0,0,0,0,0,0,0,0,1.78851e-07
14,0.00545559,1000000,0,0,0,0,0,0,0,0,0,1.76007e-07
14,0.00695193,1000000,0,0,0,0,0,0,0,0,0,1.62505e-07
14,0.00885867,1000000,0,0,0,0,0,0,0,0,0,1.86488e-07
14,0.0112884,1000000,0,0,0,0,0,0,0,0,0,2.08842e-07
14,0.0143845,1000000,0,0,0,0,0,0,0,0,0,2.44438e-07
14,0.0183298,1000000,0,0,0,0,0,0,0,0,0,2.70134e-07
14,0.0233572,1000000,0,0,0,0,0,0,0,0,0,3.26816e-07
14,0.0297635,1000000,0,0,0,0,0,0,0,0,0,4.30399e-07
14,0.0379269,1000000,0,0,0,0,0,0,0,0,0,5.34123e-07
14,0.0483293,1000000,0,0,0,0,0,0,0,0,0,7.42996e-07
14,0.0615848,1000000,0,0,0,0,0,0,0,0,0,9.96319e-07
14,0.078476,1000000,0,0,0,0,0,0,0,0,0,1.4224e-06
14,0.1,1000000,0,0,0,0,0,0,0,0,0,2.09882e-06
16,0.001,1000000,0,0,0,0,0,0,0,0,0,1.39542e-07
16,0.00127427,1000000,0,0,0,0,0,0,0,0,0,1.79067e-07
16,0.00162378,1000000,0,0,0,0,0,0,0,0,0,1.88391e-07
16,0.00206914,1000000,0,0,0,0,0,0,0,0,0,1.97841e-07
16,0.00263665,1000000,0,0,0,0,0,0,0,0,0,2.00592e-07
16,0.00335982,1000000,0,0,0,0,0,0,0,0,0,1.97623e-07
16,0.00428133,1000000,0,0,0,0,0,0,0,0,0,2.21531e-07
16,0.00545559,1000000,0,0,0,0,0,0,0,0,0,2.79841e-07
16,0.00695193,1000000,0,0,0,0,0,0,0,0,0,2.88115e-07
16,0.00885867,1000000,0,0,0,0,0,0,0,0,0,3.08838e-07
16,0.0112884,1000000,0,0,0,0,0,0,0,0,0,4.12628e-07
16,0.0143845,1000000,0,0,0,0,0,0,0,0,0,5.07943e-07
16,0.0183298,1000000,0,0,0,0,0,0,0,0,0,6.84819e-07
16,0.0233572,1000000,0,0,0,0,0,0,0,0,0,9.29281e-07
16,0.0297635,1000000,0,0,0,0,0,0,0,0,0,1.33682e-06
16,0.0379269,1000000,0,0,0,0,0,0,0,0,0,1.9751e-06
16,0.0483293,1000000,0,0,0,0,0,0,0,0,0,2.82931e-06
16,0.0615848,1000000,0,0,0,0,0,0,0,0,0,3.86572e-06
16,0.078476,1000000,0,0,0,0,0,0,0,0,0,6.43401e-06
16,0.1,1000000,2e-06,0,0,2e-06,0,0,0,0,0,9.16186e-06
18,0.001,1000000,0,0,0,0,0,0,0,0,0,1.5117e-07
18,0.00127427,1000000,0,0,0,0,0,0,0,0,0,1.66113e-07
18,0.00162378,1000000,0,0,0,0,0,0,0,0,0,2.2111e-07
18,0.00206914,1000000,0,0,0,0,0,0,0,0,0,2.10048e-07
18,0.00263665,1000000,0,0,0,0,0,0,0,0,0,2.34793e-07
18,0.00335982,1000000,0,0,0,0,0,0,0,0,0,2.00043e-07
18,0.00428133,1000000,0,0,0,0,0,0,0,0,0,2.03415e-07
18,0.00545559,1000000,0,0,0,0,0,0,0,0,0,2.10178e-07
18,0.00695193,1000000,0,0,0,0,0,0,0,0,0,2.31941e-07
18,0.00885867,1000000,0,0,0,0,0,0,0,0,0,2.50076e-07
18,0.0112884,1000000,0,0,0,0,0,0,0,0,0,2.6738e-07
18,0.0143845,1000000,0,0,0,0,0,0,0,0,0,2.9396e-07
18,0.0183298,1000000,0,0,0,0,0,0,0,0,0,3.70766e-07
18,0.0233572,1000000,0,0,0,0,0,0,0,0,0,4.31356e-07
18,0.0297635,1000000,0,0,0,0,0,0,0,0,0,5.8137e-07
18,0.0379269,1000000,0,0,0,0,0,0,0,0,0,7.87566e-07
18,0.0483293,1000000,0,0,0,0,0,0,0,0,0,1.18933e-06
18,0.0615848,1000000,0,0,0,0,0,0,0,0,0,1.50917e-06
18,0.078476,1000000,0,0,0,0,0,0,0,0,0,2.36162e-06
18,0.1,1000000,0,0,0,0,0,0,0,0,0,3.32806e-06
20,0.001,1000000,0,0,0,0,0,0,0,0,0,1.93032e-07
20,0.00127427,1000000,0,0,0,0,0,0,0,0,0,2.38468e-07
20,0.00162378,1000000,0,0,0,0,0,0,0,0,0,2.6015e-07
20,0.00206914,1000000,0,0,0,0,0,0,0,0,0,2.24632e-07
20,0.00263665,1000000,0,0,0,0,0,0,0,0,0,2.46543e-07
20,0.00335982,1000000,0,0,0,0,0,0,0,0,0,2.42679e-07
20,0.00428133,1000000,0,0,0,0,0,0,0,0,0,2.861e-07
20,0.00545559,1000000,0,0,0,0,0,0,0,0,0,2.93459e-07
20,0.00695193,1000000,0,0,0,0,0,0,0,0,0,3.53053e-07
20,0.00885867,1000000,0,0,0,0,0,0,0,0,0,3.90606e-07
20,0.0112884,1000000,0,0,0,0,0,0,0,0,0,4.90209e-07
20,0.0143845,1000000,0,0,0,0,0,0,0,0,0,6.69584e-07
20,0.0183298,1000000,0,0,0,0,0,0,0,0,0,8.62746e-07
20,0.0233572,1000000,0,0,0,0,0,0,0,0,0,1.17768e-06
20,0.0297635,1000000,1e-06,0,0,0,0,0,1e-06,0,0,1.66084e-06
20,0.0379269,1000000,4e-06,0,0,4e-06,0,0,0,0,0,2.41365e-06
20,0.0483293,1000000,4e-06,0,0,1e-06,0,0,3e-06,0,0,3.66036e-06
20,0.0615848,1000000,8e-06,0,0,3e-06,0,0,5e-06,0,0,5.24021e-06
20,0.078476,1000000,2.3e-05,0,0,1e-05,0,0,1.3e-05,0,0,8.14075e-06
20,0.1,1000000,3.8e-05,0,0,2.2e-05,0,0,1.6e-05,0,0,1.24129e-05
22,0.001,1000000,0,0,0,0,0,0,0,0,0,4.29509e-07
22,0.00127427,1000000,0,0,0,0,0,0,0,0,0,5.91202e-07
22,0.00162378,1000000,0,0,0,0,0,0,0,0,0,6.75172e-07
22,0.00206914,1000000,2e-06,0,0,2e-06,0,0,1e-06,0,0,7.9005e-07
22,0.00263665,1000000,1e-06,0,0,0,0,0,1e-06,0,0,1.12443e-06
22,0.00335982,1000000,3e-06,0,0,1e-06,0,0,2e-06,0,0,1.09482e-06
22,0.00428133,1000000,7e-06,0,0,1e-06,0,0,6e-06,0,0,1.68382e-06
22,0.00545559,1000000,9e-06,0,0,2e-06,0,0,7e-06,0,0,2.11414e-06
22,0.00695193,1000000,1.6e-05,0,0,7e-06,0,0,9e-06,0,0,2.81644e-06
22,0.00885867,1000000,2.4e-05,0,0,1e-05,0,0,1.4e-05,0,0,4.6359e-06
22,0.0112884,1000000,4.8e-05,0,0,1.9e-05,0,0,2.9e-05,0,0,6.17372e-06
22,0.0143845,1000000,7.2e-05,0,0,3.8e-05,0,0,3.4e-05,0,0,9.06008e-06
22,0.0183298,1000000,0.000159,0,0,9.1e-05,0,0,6.9e-05,0,0,1.44592e-05
22,0.0233572,1000000,0.000295,0,0,0.000129,0,0,0.000169,0,0,2.20833e-05
22,0.0297635,1000000,0.000579,0,0,0.000292,0,0,0.000292,0,0,3.33884e-05
22,0.0379269,1000000,0.001303,0,0,0.00067,0,0,0.000667,0,0,4.9564e-05
22,0.0483293,1000000,0.002852,0,0,0.001518,0,0,0.001438,0,0,7.68222e-05
22,0.0615848,1000000,0.004668,0,0,0.002409,0,0,0.002368,0,0,0.000123067
22,0.078476,1000000,0.007412,0,0,0.003729,0,0,0.003785,0,0,0.000183508
22,0.1,1000000,0.01232,0,0,0.006229,0,0,0.006255,0,0,0.000270339
