n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,1000,0,0,0,0,0,0,0,0,0,2.17792e-07
4,0.00127427,1000,0,0,0,0,0,0,0,0,0,7.7715e-08
4,0.00162378,1000,0,0,0,0,0,0,0,0,0,1.61974e-07
4,0.00206914,1000,0,0,0,0,0,0,0,0,0,2.12584e-07
4,0.00263665,1000,0,0,0,0,0,0,0,0,0,1.18021e-07
4,0.00335982,1000,0,0,0,0,0,0,0,0,0,7.7849e-08
4,0.00428133,1000,0,0,0,0,0,0,0,0,0,9.7297e-08
4,0.00545559,1000,0,0,0,0,0,0,0,0,0,8.4603e-08
4,0.00695193,1000,0,0,0,0,0,0,0,0,0,1.25465e-07
4,0.00885867,1000,0,0,0,0,0,0,0,0,0,1.04204e-07
4,0.0112884,1000,0,0,0,0,0,0,0,0,0,9.5331e-08
4,0.0143845,1000,0,0,0,0,0,0,0,0,0,1.27204e-07
4,0.0183298,1000,0,0,0,0,0,0,0,0,0,1.43406e-07
4,0.0233572,1000,0,0,0,0,0,0,0,0,0,1.38128e-07
4,0.0297635,1000,0,0,0,0,0,0,0,0,0,1.09896e-07
4,0.0379269,1000,0,0,0,0,0,0,0,0,0,1.48699e-07
4,0.0483293,1000,0,0,0,0,0,0,0,0,0,1.51541e-07
4,0.0615848,1000,0,0,0,0,0,0,0,0,0,2.0998e-07
4,0.078476,1000,0,0,0,0,0,0,0,0,0,2.56544e-07
4,0.1,1000,0,0,0,0,0,0,0,0,0,2.51849e-07
6,0.001,1000,0,0,0,0,0,0,0,0,0,9.2205e-08
6,0.00127427,1000,0,0,0,0,0,0,0,0,0,1.01664e-07
6,0.00162378,1000,0,0,0,0,0,0,0,0,0,9.6371e-08
6,0.00206914,1000,0,0,0,0,0,0,0,0,0,1.11042e-07
6,0.00263665,1000,0,0,0,0,0,0,0,0,0,1.02724e-07
6,0.00335982,1000,0,0,0,0,0,0,0,0,0,1.13903e-07
6,0.00428133,1000,0,0,0,0,0,0,0,0,0,9.327e-08
6,0.00545559,1000,0,0,0,0,0,0,0,0,0,1.165e-07
6,0.00695193,1000,0,0,0,0,0,0,0,0,0,1.09061e-07
6,0.00885867,1000,0,0,0,0,0,0,0,0,0,9.9587e-08
6,0.0112884,1000,0,0,0,0,0,0,0,0,0,1.31465e-07
6,0.0143845,1000,0,0,0,0,0,0,0,0,0,1.39782e-07
6,0.0183298,1000,0,0,0,0,0,0,0,0,0,1.27524e-07
6,0.0233572,1000,0,0,0,0,0,0,0,0,0,1.99576e-07
6,0.0297635,1000,0,0,0,0,0,0,0,0,0,1.91926e-07
6,0.0379269,1000,0,0,0,0,0,0,0,0,0,2.44732e-07
6,0.0483293,1000,0,0,0,0,0,0,0,0,0,3.40632e-07
6,0.0615848,1000,0,0,0,0,0,0,0,0,0,3.19337e-07
6,0.078476,1000,0,0,0,0,0,0,0,0,0,3.98528e-07
6,0.1,1000,0,0,0,0,0,0,0,0,0,4.88477e-07
8,0.001,1000,0,0,0,0,0,0,0,0,0,1.51002e-07
8,0.00127427,1000,0,0,0,0,0,0,0,0,0,1.24918e-07
8,0.00162378,1000,0,0,0,0,0,0,0,0,0,1.43625e-07
8,0.00206914,1000,0,0,0,0,0,0,0,0,0,1.40479e-07
8,0.00263665,1000,0,0,0,0,0,0,0,0,0,1.28059e-07
8,0.00335982,1000,0,0,0,0,0,0,0,0,0,1.46551e-07
