n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,10000,0,0,0,0,0,0,0,0,0,7.96868e-08
4,0.00127427,10000,0,0,0,0,0,0,0,0,0,5.78072e-08
4,0.00162378,10000,0,0,0,0,0,0,0,0,0,5.78273e-08
4,0.00206914,10000,0,0,0,0,0,0,0,0,0,7.29247e-08
4,0.00263665,10000,0,0,0,0,0,0,0,0,0,5.05822e-08
4,0.00335982,10000,0,0,0,0,0,0,0,0,0,7.05652e-08
4,0.00428133,10000,0,0,0,0,0,0,0,0,0,5.31669e-08
4,0.00545559,10000,0,0,0,0,0,0,0,0,0,4.25827e-08
4,0.00695193,10000,0,0,0,0,0,0,0,0,0,6.41772e-08
4,0.00885867,10000,0,0,0,0,0,0,0,0,0,7.09815e-08
4,0.0112884,10000,0,0,0,0,0,0,0,0,0,8.9891e-08
4,0.0143845,10000,0,0,0,0,0,0,0,0,0,1.02301e-07
4,0.0183298,10000,0,0,0,0,0,0,0,0,0,1.29198e-07
4,0.0233572,10000,0,0,0,0,0,0,0,0,0,1.42322e-07
4,0.0297635,10000,0,0,0,0,0,0,0,0,0,1.73959e-07
4,0.0379269,10000,0,0,0,0,0,0,0,0,0,1.37198e-07
4,0.0483293,10000,0,0,0,0,0,0,0,0,0,2.40512e-07
4,0.0615848,10000,0,0,0,0,0,0,0,0,0,1.78129e-07
4,0.078476,10000,0,0,0,0,0,0,0,0,0,2.17623e-07
4,0.1,10000,0,0,0,0,0,0,0,0,0,2.36267e-07
6,0.001,10000,0,0,0,0,0,0,0,0,0,9.48173e-08
6,0.00127427,10000,0,0,0,0,0,0,0,0,0,8.21118e-08
6,0.00162378,10000,0,0,0,0,0,0,0,0,0,1.03735e-07
6,0.00206914,10000,0,0,0,0,0,0,0,0,0,8.31062e-08
6,0.00263665,10000,0,0,0,0,0,0,0,0,0,8.45947e-08
6,0.00335982,10000,0,0,0,0,0,0,0,0,0,6.49692e-08
6,0.00428133,10000,0,0,0,0,0,0,0,0,0,1.06146e-07
6,0.00545559,10000,0,0,0,0,0,0,0,0,0,8.74506e-08
6,0.00695193,10000,0,0,0,0,0,0,0,0,0,1.22338e-07
6,0.00885867,10000,0,0,0,0,0,0,0,0,0,1.35392e-07
6,0.0112884,10000,0,0,0,0,0,0,0,0,0,1.22773e-07
6,0.0143845,10000,0,0,0,0,0,0,0,0,0,1.36029e-07
6,0.0183298,10000,0,0,0,0,0,0,0,0,0,1.74921e-07
6,0.0233572,10000,0,0,0,0,0,0,0,0,0,1.88745e-07
6,0.0297635,10000,0,0,0,0,0,0,0,0,0,2.26368e-07
