n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
4,0.001,1000000,0.001008,6.124588730074116e-05,6.416503399183596e-05,0.00066,4.938386633131784e-05,5.2312239946489215e-05,0.000675,4.995238312668524e-05,5.288024815835177e-05,0.0,0.00014846344470977784
4,0.0012742749857031334,1000000,0.001302,6.972759447187418e-05,7.264135742196336e-05,0.000886,5.73635830867365e-05,6.028547584944891e-05,0.000851,5.620096542027439e-05,5.912372517189216e-05,0.0,0.00014206594276428223
4,0.0016237767391887208,1000000,0.001631,7.814306670900174e-05,8.105204762304144e-05,0.001061,6.285863474717913e-05,6.577669973432281e-05,0.001103,6.410815860704829e-05,6.702540632042139e-05,0.0,0.0001418778657913208
4,0.00206913808111479,1000000,0.002079,8.832867710836453e-05,9.123230287386066e-05,0.00138,7.18113353427518e-05,7.472387271078781e-05,0.00138,7.18113353427518e-05,7.472387271078781e-05,0.0,0.0001414719843864441
4,0.0026366508987303583,1000000,0.002645,9.972374004336981e-05,0.00010262165753294888,0.001752,8.101985237997746e-05,8.39272837901946e-05,0.001748,8.09263782630726e-05,8.383385948543135e-05,0.0,0.00014137030625343324
4,0.003359818286283781,1000000,0.003444,0.00011388317451923625,0.00011677411255009732,0.002257,9.206428362651875e-05,9.496601664251694e-05,0.002326,9.347227579134402e-05,9.637330192594027e-05,0.0,0.00014141628861427308
4,0.004281332398719396,1000000,0.004242,0.00012644498607396713,0.00012932965048984696,0.002755,0.0001017903920343551,0.00010468728906202476,0.002892,0.00010430698312666317,0.0001072026400369447,0.0,0.0001416775071620941
4,0.00545559478116852,1000000,0.005408,0.00014280970398745148,0.00014568589315048716,0.003591,0.00011629990353074137,0.00011918964511360578,0.003596,0.00011638121759907378,0.00011927091885843497,0.0,0.00014185848999023436
4,0.0069519279617756054,1000000,0.007001,0.0001624898314386324,0.000165355176397217,0.004636,0.00013220424782703875,0.00013508597639355115,0.004722,0.0001334279497760809,0.00013630904847428994,0.0,0.00014199708580970764
4,0.008858667904100823,1000000,0.008798,0.0001821057558784641,0.00018495942338070913,0.005895,0.00014910714977245908,0.00015197995490938507,0.005859,0.00014865090980057272,0.0001515239626821924,0.0,0.0001423298614025116
4,0.011288378916846888,1000000,0.011164,0.0002050134968523045,0.00020785228125019123,0.007536,0.00016857487547143266,0.00017143669689026562,0.007417,0.0001672409775799735,0.00017010357876734179,0.0,0.00014201356077194214
4,0.01438449888287663,1000000,0.014305,0.00023182834943216886,0.0002346478524333992,0.009584,0.00019003325475136154,0.00019288193002183623,0.009494,0.000189142913095304,0.00019199215722332484,0.0,0.00014229664611816405
4,0.018329807108324356,1000000,0.018019,0.00025981773319853213,0.00026261482428223057,0.012004,0.00021253205154037579,0.00021536563816066875,0.011947,0.00021203065684227348,0.00021486459505856183,0.0,0.00014232750177383424
4,0.023357214690901212,1000000,0.023248,0.0002944659247151489,0.0002972318481471725,0.015429,0.0002406643965405502,0.00024347708285731885,0.015615,0.0002420937043353024,0.000244905265830285,0.0,0.00014372148823738097
4,0.029763514416313176,1000000,0.029481,0.00033066548080443875,0.000333394576165158,0.019622,0.0002709500041659686,0.0002737375033915086,0.019726,0.0002716553028957562,0.00027444218111847066,0.0,0.0001443088026046753
4,0.0379269019073225,1000000,0.037191,0.0003700422243322829,0.0003727260321662734,0.024839,0.0003041607780995062,0.00030691727522098866,0.024901,0.00030453171010801083,0.0003072878403061266,0.0,0.00014521681928634643
4,0.04832930238571752,1000000,0.047566,0.0004163599065499443,0.0004189830310164788,0.031773,0.00034291164497168847,0.00034562725346730383,0.031739,0.00034273359795208846,0.00034544940634579496,0.0,0.00014575253009796143
4,0.06158482110660261,1000000,0.060441,0.00046628995316406324,0.0004688379990449229,0.040354,0.0003848658364286814,0.00038753111957823966,0.040426,0.00038519549231474937,0.0003878603540686948,0.0,0.00014692156553268432
4,0.07847599703514611,1000000,0.076226,0.0005193669503005538,0.0005218231383304767,0.050916,0.0004300503058686442,0.00043265387654694426,0.050812,0.00042963333689193667,0.00043223751438494634,0.0,0.00014770240473747253
4,0.1,1000000,0.096737,0.0005786955000361693,0.0005810325022041901,0.06439,0.0004803039494311878,0.0004828289994919521,0.064511,0.00048072495322630526,0.0004832492988657566,0.0,0.00014938542604446412
6,0.001,1000000,0.00099,6.068852456814439e-05,6.360805262140652e-05,0.000663,4.949808357549172e-05,5.242635433570211e-05,0.000645,4.880883745334247e-05,5.1737734208638165e-05,0.0,0.00014086692309379578
6,0.0012742749857031334,1000000,0.00123,6.77477713100184e-05,7.066272969576538e-05,0.000781,5.380146627057686e-05,5.672609096799442e-05,0.000823,5.525349935079607e-05,5.817698279635662e-05,0.0,0.00014067351293563842
6,0.0016237767391887208,1000000,0.001667,7.900985844962226e-05,8.191836875609971e-05,0.00109,6.372399191856629e-05,6.664148906197721e-05,0.001126,6.478231460615232e-05,6.769912841127776e-05,0.0,0.00014067682576179505
6,0.00206913808111479,1000000,0.002074,8.822146537831822e-05,9.112514589536356e-05,0.001414,7.270108840285372e-05,7.561311168346996e-05,0.001357,7.120318819515189e-05,7.41160800286991e-05,0.0,0.00014099013495445252
6,0.0026366508987303583,1000000,0.002655,9.991338598905591e-05,0.0001028112097312588,0.001797,8.206413407118207e-05,8.497101122961542e-05,0.001746,8.087960088817348e-05,8.378710705079801e-05,0.0,0.00014087407779693603
6,0.003359818286283781,1000000,0.003295,0.00011137977550068059,0.00011427194947208601,0.002146,8.975298861069007e-05,9.265588941828606e-05,0.002209,9.107199085086042e-05,9.397422401742628e-05,0.0,0.00014095996332168578
6,0.004281332398719396,1000000,0.004264,0.00012677353610597922,0.00012965803422750836,0.002855,0.00010363335560818971,0.00010652934427761484,0.002801,0.00010264227275714154,0.00010553874975920445,0.0,0.00013849162721633911
6,0.00545559478116852,1000000,0.005313,0.00014154807854004428,0.00014442493673023308,0.003526,0.0001152375681912122,0.00011812783616354508,0.003616,0.00011670590387116665,0.00011959544407166628,0.0,0.00013763818287849426
6,0.0069519279617756054,1000000,0.006873,0.00016099908511781665,0.00016386528034543612,0.004585,0.00013147312304113284,0.0001343552268723595,0.004543,0.00013086791937058726,0.00013375033324678105,0.0,0.00013543939566612243
6,0.008858667904100823,1000000,0.008722,0.00018132026637644738,0.00018417441969876928,0.005823,0.00014819324123277553,0.0001510665422207744,0.005802,0.00014792560293085816,0.0001507990488169306,0.0,0.0001348201172351837
6,0.011288378916846888,1000000,0.011343,0.00020663958174191137,0.00020947725544473612,0.007633,0.0001696542221410217,0.00017251540951500853,0.007548,0.00016870878650110822,0.0001715705294062942,0.0,0.00014164107322692872
6,0.01438449888287663,1000000,0.014208,0.00023104906204061797,0.0002338691550001909,0.009511,0.00018931142030407036,0.00019216055692973348,0.009436,0.0001885668349486027,0.00019141644603217975,0.0,0.00015151523804664613
6,0.018329807108324356,1000000,0.018402,0.00026252368332152845,0.00026531847902330416,0.012195,0.00021420322734590734,0.0002170356369064503,0.012333,0.00021540224195536369,0.00021823380209720807,0.0,0.0001496399004459381
6,0.023357214690901212,1000000,0.02316,0.00029391943277716145,0.0002966858782205671,0.01541,0.00024051788499869324,0.0002433306862646943,0.015438,0.00024073376375881826,0.00024354639562896088,0.0,0.00014503692770004273
6,0.029763514416313176,1000000,0.029579,0.0003311995714077552,0.0003339280896031069,0.019619,0.0002709296296085767,0.00027371714675028525,0.019822,0.00027230459813380736,0.00027509090325318966,0.0,0.000145883314371109
6,0.0379269019073225,1000000,0.037212,0.00037014293467718673,0.00037282661943462136,0.024921,0.0003046512593113705,0.00030740727115326216,0.024661,0.0003030930615463452,0.0003058506122575362,0.0,0.00014719407534599305
6,0.04832930238571752,1000000,0.047578,0.00041640993176225716,0.0004190329861565867,0.03166,0.000342319494222712,0.00034503576710342293,0.031805,0.0003430791227374483,0.0003457945430983128,0.0,0.00014821537899971008
6,0.06158482110660261,1000000,0.059978,0.00046461086048420197,0.00046716160332587603,0.040129,0.0003838335095271983,0.0003865001096190826,0.039879,0.00038268262998852193,0.0003853506934866219,0.0,0.00014998768281936645
6,0.07847599703514611,1000000,0.076497,0.0005202150104000741,0.0005226696226374311,0.051185,0.00043112650159509575,0.0004337285027922813,0.05093,0.00043010639817526314,0.00043270988716959113,0.0,0.00015084536600112915
6,0.1,1000000,0.097339,0.0005803034570656118,0.0005826369631303369,0.065129,0.0004828676837552309,0.00048538843176904045,0.064661,0.00048124618714044665,0.0004837696595455243,0.0,0.0001534958231449127
8,0.001,1000000,0.000978,6.031412139954656e-05,6.323390791184878e-05,0.000641,4.8654367761896645e-05,5.158340658755487e-05,0.000672,4.98391902013347e-05,5.2767155824115335e-05,0.0,0.00014147709226608276
