n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
4,0.001,100000,0.00104,0.00019016802991163111,0.00021999534592339514,0.00075,0.00016003314518362203,0.000190042109675164,0.00063,0.00014585780222825518,0.00017597271683427395,0.0,0.00014474226236343383
4,0.0012742749857031334,100000,0.00149,0.00022949798529244502,0.00025914541197595586,0.00103,0.0001892052297586313,0.00021903763664214986,0.00093,0.00017930638688027582,0.0002091935753273078,0.0,0.00014473814725875854
4,0.0016237767391887208,100000,0.00171,0.00024652639075641264,0.0002761088709473164,0.00109,0.00019491376597859686,0.00022471655463946177,0.00116,0.00020137775710979758,0.0002311485602939341,0.0,0.00014013062000274657
4,0.00206913808111479,100000,0.0022,0.00028086508148416223,0.00031033222865124157,0.00151,0.00023109612307924414,0.00026073718378230647,0.00148,0.00022869487327172597,0.00025834552199026405,0.0,0.00015272324323654176
4,0.0026366508987303583,100000,0.0026,0.00030611899623120926,0.00033551091432529496,0.00168,0.0002442720251043444,0.00027386275915014264,0.0018,0.0002531726960877611,0.00028273139163205105,0.0,0.00015734643697738648
4,0.003359818286283781,100000,0.00337,0.00034972421664528075,0.0003789986240828069,0.00215,0.0002775507606261453,0.00030702830447546783,0.00237,0.00029185902215191593,0.000321292604314404,0.0,0.00015222587585449218
4,0.004281332398719396,100000,0.00427,0.00039470578498401005,0.0004238691004008711,0.00287,0.00032207002310221224,0.000351417442833945,0.00285,0.0003209151473726481,0.00035026572293321394,0.0,0.00014895018577575683
4,0.00545559478116852,100000,0.0052,0.00043637570705539527,0.00046544099381849204,0.00359,0.00036123140083275593,0.0003904766419690936,0.00343,0.00035289925899686806,0.00038216555706662055,0.0,0.00014361342668533326
4,0.0069519279617756054,100000,0.00728,0.0005175678207750469,0.0005464463444974279,0.00488,0.00042249975745856354,0.0004515973541178095,0.00491,0.0004238198718089104,0.0004529143829772901,0.0,0.0001429413866996765
4,0.008858667904100823,100000,0.00901,0.0005763839912874599,0.0006051255784976228,0.00609,0.0004728328928113373,0.0005018141538564993,0.00583,0.00046248011903291496,0.0004914851604434648,0.0,0.0001419354510307312
4,0.011288378916846888,100000,0.01111,0.0006404395337729647,0.0006690269004649089,0.00736,0.0005204362238767964,0.0005493081371868037,0.00722,0.0005154059365533991,0.0005442894393824201,0.0,0.00014801182746887207
4,0.01438449888287663,100000,0.01463,0.0007350632457368104,0.0007634086323374256,0.00973,0.0005991361678891489,0.0006278237096579344,0.00978,0.0006006835073438261,0.000629367346390913,0.0,0.00014885724306106567
