n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
7,0.0483293023857175,100000,0.03959,0.0012001931491488,0.0012269901201618,0.03826,0.0011805029638479,0.001207379758566,0.01106,0.000638990873539,0.000667581803672,-6.099298843764701e-16,0.0002520569515228
7,0.0615848211066026,100000,0.05804,0.0014413649565461,0.0014670648663298,0.05567,0.0014131840356858,0.0014390240814853,0.01673,0.0007858965443006,0.0008141034772292,-7.642597665835638e-16,0.0002507381629943
7,0.0784759970351461,100000,0.08878,0.0017559137120421,0.0017798067688324,0.08421,0.0017141099491639,0.0017382707226089,0.02683,0.0009927624039491,0.0010203329721745,-9.49853529164102e-16,0.0002226392054557
7,0.1,100000,0.13114,0.0020864203721227,0.002107839578024,0.12182,0.002021223556107,0.002043186179882,0.04137,0.0012259698116392,0.0012526601580807,-1.1655743037408685e-15,0.000201456515789
17,0.001,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,1.2931877790833825e-17,0.000213689994812
17,0.0012742749857031,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,1.8900436771218665e-17,0.0001843993306159
17,0.0016237767391887,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0002,0.000190492260456
17,0.0020691380811147,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,2.5721647034515626e-17,0.0001768457174301
17,0.0026366508987303,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.00025,0.0002139899158477
17,0.0033598182862837,100000,2e-05,1.7577898037296847e-05,5.224498936504791e-05,2e-05,1.7577898037296847e-05,5.224498936504791e-05,0.0,0.0,3.6888114157924206e-05,0.0012833333333333,0.0002127348470687
17,0.0042813323987193,100000,3e-05,2.3813236041077967e-05,5.767020256636201e-05,3e-05,2.3813236041077967e-05,5.767020256636201e-05,0.0,0.0,3.6888114157924206e-05,0.0018333333333334,0.0002188837885856
17,0.0054555947811685,100000,4e-05,2.910124217254141e-05,6.241269060279137e-05,4e-05,2.910124217254141e-05,6.241269060279137e-05,1e-05,9.746821952206667e-06,4.571516034774275e-05,0.0028340108401084,0.000207950515747
17,0.0069519279617756,100000,0.00016,6.854349816367227e-05,9.981700651290756e-05,0.00016,6.854349816367227e-05,9.981700651290756e-05,3e-05,2.3813236041077967e-05,5.767020256636201e-05,0.0061703356264332,0.0002180918574333
17,0.0088586679041008,100000,0.00025,8.820685401380804e-05,0.0001190273490163,0.00024,8.622161009216498e-05,0.0001170800671341,2e-05,1.7577898037296847e-05,5.224498936504791e-05,0.0089603174603175,0.0002027146029472
17,0.0112883789168468,100000,0.00049,0.0001274740026766,0.0001577548687888,0.00048,0.0001260653461996,0.0001563605881098,9e-05,4.8845469662682224e-05,8.08411281938357e-05,0.0167189467733895,0.0002226133108139
17,0.0143844988828766,100000,0.00093,0.0001793063868802,0.0002091935753273,0.00092,0.0001782877056282,0.0002081808006754,0.00011,5.5087158335423856e-05,8.681184115254098e-05,0.0428919491545738,0.00024798361063
17,0.0183298071083243,100000,0.002,0.0002673679134029,0.0002968782938477,0.00195,0.0002638887065563,0.0002934106389723,0.0003,9.758239421694788e-05,0.0001282411864474,0.0956351721901028,0.0002715555906295
17,0.0233572146909012,100000,0.00407,0.000385159654615,0.0004143459616845,0.00394,0.0003788268347866,0.000408028543544,0.00057,0.000138259869438,0.000168438889877,0.2079535910726663,0.0003177311968803
17,0.0297635144163131,100000,0.00729,0.0005179272487829,0.0005468049444431,0.00712,0.0005117823058303,0.0005406741488675,0.00106,0.0001920797835363,0.0002218971075351,0.3383230600331559,0.0003864489793777
17,0.0379269019073225,100000,0.0139,0.0007165063031918,0.0007449006811474,0.01359,0.0007084725042899,0.0007368878467913,0.00207,0.0002721660800719,0.0003016608134914,0.6034697947848434,0.000489543993473
17,0.0483293023857175,100000,0.02602,0.0009779154185289,0.0010055358994282,0.02506,0.0009599916320655,0.000987671451457,0.00441,0.0004012539782793,0.0004304016615007,1.2491502517450006,0.0007167823076248
