n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
4,0.001,100000,0.0011,0.00019584970190190346,0.00022564776071304143,0.0011,0.00019584970190190346,0.00022564776071304143,0.00059,0.00014083526997866493,0.00017099191603852347,0.0,0.00016808841228485108
4,0.0012742749857031334,100000,0.0013,0.00021374266124666967,0.0002434563404731464,0.0013,0.00021374266124666967,0.0002434563404731464,0.00056,0.00013695515531007016,0.00016714577842802728,0.0,0.0001581092119216919
4,0.0016237767391887208,100000,0.00152,0.00023189120237142162,0.0002615291182783625,0.00152,0.00023189120237142162,0.0002615291182783625,0.00081,0.00016669265387225416,0.0001966569862478628,0.0,0.00016195655345916749
4,0.00206913808111479,100000,0.00189,0.000259653862054568,0.0002891901021974915,0.00189,0.000259653862054568,0.0002891901021974915,0.00095,0.00018132738250301495,0.00021120300763733865,0.0,0.00015938480615615845
4,0.0026366508987303583,100000,0.00274,0.00031448895798861934,0.000343857275038305,0.00274,0.00031448895798861934,0.000343857275038305,0.00132,0.00021545335217393042,0.00024515950740015727,0.0,0.00016141974687576294
4,0.003359818286283781,100000,0.00333,0.00034759163520048375,0.00037687151758898467,0.00333,0.00034759163520048375,0.00037687151758898467,0.00171,0.00024652639075641264,0.0002761088709473164,0.0,0.0001669556951522827
4,0.004281332398719396,100000,0.0043,0.00039611801716537285,0.0004252779522216114,0.0043,0.00039611801716537285,0.0004252779522216114,0.00215,0.0002775507606261453,0.00030702830447546783,0.0,0.0001570129132270813
4,0.00545559478116852,100000,0.00504,0.0004294936291640789,0.00045857490836039624,0.00504,0.0004294936291640789,0.00045857490836039624,0.00247,0.0002981409995838199,0.00032755598554130546,0.0,0.0001552236318588257
4,0.0069519279617756054,100000,0.00653,0.0004898529041997427,0.000518795115165561,0.00652,0.0004894726917786555,0.0005184157750558341,0.00296,0.00032721741890513875,0.00035655088706774756,0.0,0.00015658905029296874
4,0.008858667904100823,100000,0.00893,0.0005737991574402551,0.0006025468401043236,0.00888,0.000572177596272861,0.0006009290985028674,0.00448,0.00040448858766588876,0.00043362858655760037,0.0,0.00015696334123611451
4,0.011288378916846888,100000,0.01138,0.0006482047200569354,0.0006767729196177855,0.01136,0.0006476328094248748,0.0006762024245027289,0.00589,0.00046488973942407537,0.0004938892423852715,0.0,0.0001624991011619568
4,0.01438449888287663,100000,0.01376,0.0007128898145349963,0.0007412936479210021,0.01369,0.0007110743828988401,0.000739482951630302,0.0068,0.000500008667990849,0.0005289275703028061,0.0,0.00015871508598327635
4,0.018329807108324356,100000,0.01841,0.0008241923589606924,0.0008522906275768016,0.01834,0.0008226344253027262,0.0008507371906834489,0.00915,0.0005808792523445249,0.0006096102183031794,0.0,0.00016070597410202026
4,0.023357214690901212,100000,0.02403,0.0009403442769604468,0.0009680880030869844,0.02396,0.0009389927238159027,0.0009667408028319717,0.01179,0.0006598163014631085,0.0006883556262595753,0.0,0.00016960050582885743
4,0.029763514416313176,100000,0.02927,0.0010360707018485897,0.0010634916655412122,0.02908,0.0010327706728040925,0.001060203249163054,0.01462,0.0007348123471939902,0.0007631584015457757,0.0,0.00016117691040039062
4,0.0379269019073225,100000,0.03701,0.0011616433843586668,0.0011885953336812569,0.03666,0.0011562989541479551,0.0011832719712470893,0.01822,0.0008199563588707735,0.0008480668388199213,0.0,0.00016058891296386719
4,0.04832930238571752,100000,0.04754,0.001310728603523069,0.0013370508908118195,0.04697,0.0013031738765368756,0.0013295300794126802,0.024,0.0009397652993015024,0.0009675108907950952,0.0,0.00015990029096603394
4,0.06158482110660261,100000,0.06051,0.0014700106096260726,0.0014955646453057164,0.0596,0.0014595402729005585,0.00148514803204388,0.03081,0.0010623966400714197,0.001089723684977565,0.0,0.0001760061502456665
4,0.07847599703514611,100000,0.07786,0.0016534878536981906,0.0016780210310726185,0.07645,0.0016395983985891677,0.0016642143408662075,0.03944,0.0011979912866650066,0.0012247972534601345,0.0,0.0001663083052635193
4,0.1,100000,0.09714,0.0018288102596326766,0.001852214112453815,0.09487,0.0018094502817672803,0.0018329869065299986,0.05057,0.0013500315297445414,0.001376173779851185,0.0,0.00016416579723358153
6,0.001,100000,0.00105,0.00019112619246495642,0.00022094848134532287,0.00105,0.00019112619246495642,0.00022094848134532287,0.00053,0.00013296921170097476,0.00016319645734134015,0.0,0.0001598790144920349
6,0.0012742749857031334,100000,0.0013,0.00021374266124666967,0.0002434563404731464,0.0013,0.00021374266124666967,0.0002434563404731464,0.00065,0.00014830901478690077,0.0001784044182606973,0.0,0.00015670855283737183
6,0.0016237767391887208,100000,0.00163,0.00024046928900486398,0.00027007417224566774,0.00163,0.00024046928900486398,0.00027007417224566774,0.0008,0.00016560037312578625,0.00019557182627648665,0.0,0.00015663970947265624
6,0.00206913808111479,100000,0.00213,0.000276214179718261,0.00030569595519582297,0.00213,0.000276214179718261,0.00030569595519582297,0.00106,0.00019207978353639565,0.0002218971075351407,0.0,0.00015660478353500366
6,0.0026366508987303583,100000,0.00266,0.0003097332665139589,0.0003391149216018449,0.00266,0.0003097332665139589,0.0003391149216018449,0.00126,0.00021028114574799472,0.00024001031912164656,0.0,0.00015691309213638306
