n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
7,0.001,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,-8.526512829121201e-18,0.000191086962223
7,0.0012742749857031,100000,3e-05,2.3813236041077967e-05,5.767020256636201e-05,0.0,0.0,3.6888114157924206e-05,3e-05,2.3813236041077967e-05,5.767020256636201e-05,-1.3358203432289885e-17,0.0001784605932235
7,0.0016237767391887,100000,4e-05,2.910124217254141e-05,6.241269060279137e-05,1e-05,9.746821952206667e-06,4.571516034774275e-05,3e-05,2.3813236041077967e-05,5.767020256636201e-05,-2.1884716261411085e-17,0.0001745330524444
7,0.0020691380811147,100000,8e-05,4.546106581911712e-05,7.76257736173694e-05,6e-05,3.798074940080164e-05,7.05901306201627e-05,3e-05,2.3813236041077967e-05,5.767020256636201e-05,-1.9895196601282805e-17,0.0001719795680046
7,0.0026366508987303,100000,0.00012,5.799276088264031e-05,8.960645805016375e-05,6e-05,3.798074940080164e-05,7.05901306201627e-05,6e-05,3.798074940080164e-05,7.05901306201627e-05,-2.273736754432321e-17,0.0001722863411903
7,0.0033598182862837,100000,0.00016,6.854349816367227e-05,9.981700651290756e-05,0.00012,5.799276088264031e-05,8.960645805016375e-05,6e-05,3.798074940080164e-05,7.05901306201627e-05,-3.353761712787673e-17,0.0002012802720069
7,0.0042813323987193,100000,0.00038,0.0001110757897452,0.000141542765047,0.0002,7.783066031000907e-05,0.0001088669626311,0.0002,7.783066031000907e-05,0.0001088669626311,-4.0927261579781773e-17,0.0001774301719665
7,0.0054555947811685,100000,0.00044,0.0001202776927941,0.0001506349587269,0.00027,9.20609966933786e-05,0.000122811696743,0.00024,8.622161009216498e-05,0.0001170800671341,-5.2864379540551457e-17,0.0001825369596481
7,0.0069519279617756,100000,0.00067,0.0001507226507549,0.0001807993568134,0.00032,0.0001011102635667,0.0001317147624079,0.00043,0.0001187899354041,0.0001491639648804,-6.991740519879386e-17,0.0001903712797164
7,0.0088586679041008,100000,0.00127,0.0002111516394009,0.0002408768816616,0.00065,0.0001483090147869,0.0001784044182606,0.00082,0.0001677781858327,0.00019773551562,-9.29389898374211e-17,0.0002045845603942
7,0.0112883789168468,100000,0.00205,0.0002708036201914,0.0003003027641345,0.00112,0.0001977088414393,0.0002274976057756,0.00118,0.0002031883846114,0.0002329505034611,-1.0913936421275139e-16,0.0002060438466072
7,0.0143844988828766,100000,0.00334,0.0003481259879935,0.0003774044963764,0.00194,0.0002631874990485,0.0002927117814835,0.00191,0.0002610728942915,0.0002906043091103,-1.369926394545473e-16,0.0002208712792396
7,0.0183298071083243,100000,0.00453,0.000406783371944,0.0004359179332421,0.00254,0.0003024624396345,0.0003318648575523,0.00266,0.0003097332665139,0.0003391149216018,-1.7848833522293714e-16,0.0002302847671508
7,0.0233572146909012,100000,0.00826,0.0005516673812979,0.0005804669264949,0.00479,0.0004185145235903,0.0004476214517287,0.00451,0.0004058670059994,0.0004350037373079,-2.233946361229755e-16,0.0002360491752624
7,0.0297635144163131,100000,0.01263,0.0006829698358979,0.0007114507842784,0.00707,0.0005099607449887,0.0005388567781558,0.00739,0.0005215077655943,0.0005503772082065,-2.7171154215466233e-16,0.0002217498159408
7,0.0379269019073225,100000,0.02135,0.0008869995368445,0.0009149109236905,0.01219,0.0006709448785033,0.0006994562812302,0.01247,0.0006786226512439,0.0007071146438544,-3.899458533851429e-16,0.0001998260211944
7,0.0483293023857175,100000,0.03064,0.0010595264710238,0.0010868638664314,0.0173,0.0007991077403188,0.0008272776228242,0.018,0.0008150222790429,0.0008431469218514,-4.470734893402554e-16,0.0001770151782035
7,0.0615848211066026,100000,0.04789,0.0013153415209016,0.0013416429905795,0.02809,0.001015382398359,0.0010428755798299,0.02731,0.0010014462006534,0.0010289872530146,-6.02824457018869e-16,0.0001923496842384
7,0.0784759970351461,100000,0.07286,0.0016034831458139,0.0016283099518714,0.04224,0.0012383398701527,0.0012649781818393,0.04287,0.0012472072669824,0.0012738079288438,-7.273115443240386e-16,0.0002028917241096
7,0.1,100000,0.10806,0.0019178055711975,0.0019405712655934,0.06327,0.0015011958312175,0.0015265870558169,0.06397,0.0015089730386572,0.0015343230000084,-9.418954505235889e-16,0.0002237644433975
17,0.001,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,4.263256414560601e-19,0.0001995176386833
17,0.0012742749857031,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,3.552713678800501e-18,0.0001834849023818
17,0.0016237767391887,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,6.394884621840902e-18,0.0001881895899772
17,0.0020691380811147,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,1.1368683772161604e-18,0.000190139863491
